auditStartTime,adminActionType,issueType,severity,description,location,indicatorCode,countryCode,detectedAt,additionalData
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/ESP,indicators/BN.CAB.XOKA.GD.ZS/series/ESP; countries/ESP/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,ESP,2025-09-14T15:45:22.731576,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/ESP, countries/ESP/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/EST,indicators/BN.CAB.XOKA.GD.ZS/series/EST; countries/EST/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,EST,2025-09-14T15:45:22.731596,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/EST, countries/EST/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/FIN,indicators/BN.CAB.XOKA.GD.ZS/series/FIN; countries/FIN/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,FIN,2025-09-14T15:45:22.731618,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/FIN, countries/FIN/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/FRA,indicators/BN.CAB.XOKA.GD.ZS/series/FRA; countries/FRA/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,FRA,2025-09-14T15:45:22.731638,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/FRA, countries/FRA/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/GBR,indicators/BN.CAB.XOKA.GD.ZS/series/GBR; countries/GBR/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,GBR,2025-09-14T15:45:22.731661,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/GBR, countries/GBR/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/GRC,indicators/BN.CAB.XOKA.GD.ZS/series/GRC; countries/GRC/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,GRC,2025-09-14T15:45:22.731682,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/GRC, countries/GRC/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/HUN,indicators/BN.CAB.XOKA.GD.ZS/series/HUN; countries/HUN/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,HUN,2025-09-14T15:45:22.731707,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/HUN, countries/HUN/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/IRL,indicators/BN.CAB.XOKA.GD.ZS/series/IRL; countries/IRL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,IRL,2025-09-14T15:45:22.731736,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/IRL, countries/IRL/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/ISL,indicators/BN.CAB.XOKA.GD.ZS/series/ISL; countries/ISL/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,ISL,2025-09-14T15:45:22.731758,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/ISL, countries/ISL/indicators/BN.CAB.XOKA.GD.ZS]}"
2025-09-14T15:45:03.024532,systemMaintenance,duplicate,warning,õ pt0 ¬: BN.CAB.XOKA.GD.ZS/ISR,indicators/BN.CAB.XOKA.GD.ZS/series/ISR; countries/ISR/indicators/BN.CAB.XOKA.GD.ZS,BN.CAB.XOKA.GD.ZS,ISR,2025-09-14T15:45:22.731777,"{locations: [indicators/BN.CAB.XOKA.GD.ZS/series/ISR, countries/ISR/indicators/BN.CAB.XOKA.GD.ZS]}"
